"Genus","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Holdemania",0,0,0,0,0,0,0,0,0,0,0,3.04259634888438,0,0,0,0
"Iamia",0,0,0,5.71545213308839,0,0,0,0,0,0,0,0,0,0,0,0
"Terriglobus",16.9032052304258,19.5659907506226,0,6.7360685854256,0,0,0,0,0,0,0,0,6.94927032661571,14.0795494544175,0,0
"Thermomonas",19.9330250358794,26.6808964781217,26.2123197903015,30.8226168605838,0,0,0,0,40.3337969401948,42.7350427350428,0,8.11359026369169,0,22.8792678634284,0,21.4231063504208
"Micromonospora",20.4114176367406,29.3489861259338,0,11.0226576852419,0,0,0,0,0,8.54700854700855,0,0,0,10.2076733544527,0,0
"Panacagrimonas",0,0,0,5.10308226168606,0,0,0,0,0,0,0,4.56389452332657,0,0,0,0
"Facklamia",0,0,0,0,12.7478753541077,0,0,0,0,0,0,0,7.64419735927728,0,0,0
"Luteimonas",0,0,0,22.8618085323535,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Koribacter",11.4814224206666,0,0,12.6556440089814,0,0,0,0,0,9.44669365721998,0,15.7200811359026,0,11.263639563534,0,16.8324407039021
"Cohnella",0,0,0,2.44947948560931,0,0,0,0,0,0,0,0,0,0,0,0
"Aminiphilus",0.478392600861107,0,0,0,0,0,0,0,0,0,0,0,0,1.05596620908131,0,0
"Kineosporia",4.30553340774996,11.3838491639986,0,2.44947948560931,0,0,0,0,0,0,0,0,0,4.57585357268568,0,0
"Alicyclobacillus",18.8167756338702,16.1864105300605,6.55307994757537,6.53194529495816,0,0,0,0,0,19.7930724246514,0,4.05679513184584,2.08478109798471,15.8394931362196,0,0
"Thiobacillus",0,0,5.24246395806029,4.49071239028373,0,0,0,0,0,0,0,5.57809330628803,0,0,0,0
"Nitrosovibrio",62.669430712805,59.0537175382426,40.6290956749673,80.0163298632374,15.5807365439094,0,0,0,68.1502086230877,112.910481331534,90.3490759753595,14.7058823529412,0,55.9662090813094,0,0
"Megamonas",0,0,0,1.22473974280465,0,11.4503816793893,0,0,0,0,0,6.5922920892495,0,0,0,0
"Modestobacter",2.55142720459257,6.75916044112416,0,0,0,0,0,0,0,0,0,18.762677484787,24.322446143155,15.8394931362196,0,0
"Asticcacaulis",1.11624940200925,0,0,0,0,0,0,0,0,1.34952766531714,0,0,0,1.40795494544175,0,0
"Tepidimonas",0,0,0,7.14431516636048,0,0,0,0,0,0,0,4.56389452332657,0,0,15.2284263959391,55.087987758225
"Finegoldia",0,0,0,1.02061645233721,7.08215297450426,0,0,7.29927007299271,0,0,0,4.05679513184584,0,0,0,0
"Caldicoprobacter",0,0,0,2.44947948560931,0,0,0,0,0,0,0,8.11359026369169,0,0,0,0
"Atopobium",0,0,0,0.612369871402327,8.49858356940511,11.4503816793893,19.6671709531014,11.6788321167883,0,0,0,69.9797160243408,0,0,0,0
"Aquincola",0,0,0,1.22473974280465,0,0,0,0,0,0,0,0,0,0,0,0
"Comamonas",0,0,0,1.22473974280465,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfobulbus",0,0,0,0,0,0,0,0,0,0,0,3.04259634888438,0,0,0,0
"Bdellovibrio",1.27571360229628,0.533617929562433,0,3.8783425188814,0,0,0,0,0,0,0,0,0,0,0,2.29533282325937
"Saccharibacter",0,0,0,0,0,0,0,8.75912408759126,0,0,0,3.54969574036511,0,0,0,0
"Aminobacter",0,0,0,8.77730149010002,0,0,0,0,0,0,0,0,0,0,0,6.88599846977812
"Leuconostoc",506.936692712486,1311.0992529349,13762.7785058978,641.151255358237,8944.75920679888,2600.50890585242,14868.3812405447,3538.68613138687,2737.13490959667,190.283400809717,4084.18891170432,131.338742393509,13985.4065323141,186.906019007392,12280.8798646362,149.961744452946
"Pelotomaculum",0,0,0,0.612369871402327,0,0,0,0,0,0,0,0,0,0,0,0
"Enhydrobacter",5.26231860947217,0,2.62123197903015,4.69483568075117,11.3314447592068,0,0,10.2189781021898,0,14.3949617633828,0,25.3549695740365,2.77970813064628,8.79971840901091,0,14.5371078806427
