"Genus","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Marinobacter",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"Rubellimicrobium",0,12,0,0,0,17,0,4,0,0,0,0,0,0,0,0
"Cryocola",20,29,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"Methylocaldum",0,0,0,7,0,0,0,4,0,0,0,11,0,0,0,16
"Lysinibacillus",0,34,0,37,0,0,0,0,0,0,0,0,0,0,0,0
"Peptoniphilus",26,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0
"Sulfuritalea",0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
"Tsukamurella",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exiguobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"Inquilinus",0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0
"Alcaligenes",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phyllobacterium",59,50,36,211,63,0,27,30,55,33,28,17,0,16,0,0
"Bibersteinia",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"Propionibacterium",28,10,7,13,13,17,6,8,0,8,3,48,6,12,4,9
"Thermobispora",6,0,0,51,0,0,0,7,0,0,0,0,0,0,0,0
"Vibrio",0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0
"Rubritalea",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
