"ID","sample","City","Treatment","Dilution","Packaging","Packaging_samples","Lean","Blinded_Store","Store","Raw_paired_reads","QC_filtered_reads","nonhost_filtered_reads","amrplusplus_counts","Samdedup_amrplusplus_counts","deduped_SNP_confirmed_counts","resistome_raw_mapped_reads","resistome_CSS_counts","AMR_class_Richness","AMR_class_Shannon","AMR_mech_Richness","AMR_mech_Shannon","Level","Value"
"86","FC.172A_concatenated","FC_172","Fort Collins","CONV","None","TrayOverwrap","TrayOverwrap(N=6)",80,"Store3","Safeway",45710363,44090217,1410649,1025,930,2147,2146,69225.8064516132,7,0.655851164370814,13,0.722380774868843,"Mechanism",4.69489756345155
"87","FC.172A_concatenated","FC_172","Fort Collins","CONV","None","TrayOverwrap","TrayOverwrap(N=6)",80,"Store3","Safeway",45710363,44090217,1410649,1025,930,2147,2146,69225.8064516132,7,0.655851164370814,13,0.722380774868843,"Group",6.75307674449321
"88","FC.172A_concatenated","FC_172","Fort Collins","CONV","None","TrayOverwrap","TrayOverwrap(N=6)",80,"Store3","Safeway",45710363,44090217,1410649,1025,930,2147,2146,69225.8064516132,7,0.655851164370814,13,0.722380774868843,"Gene",15.1075715360663
"89","FC.177A1in2_concatenated","FC_177","Fort Collins","CONV","Half","TrayOverwrap","TrayOverwrap(N=6)",93,"Store5","Walmart",54833376,52650008,45942,4894,3473,5686,5327,21566.8016194332,13,0.943432563348337,22,1.5038647861473,"Class",5.20439537338704
"90","FC.177A1in2_concatenated","FC_177","Fort Collins","CONV","Half","TrayOverwrap","TrayOverwrap(N=6)",93,"Store5","Walmart",54833376,52650008,45942,4894,3473,5686,5327,21566.8016194332,13,0.943432563348337,22,1.5038647861473,"Mechanism",7.97085357389062
"91","FC.177A1in2_concatenated","FC_177","Fort Collins","CONV","Half","TrayOverwrap","TrayOverwrap(N=6)",93,"Store5","Walmart",54833376,52650008,45942,4894,3473,5686,5327,21566.8016194332,13,0.943432563348337,22,1.5038647861473,"Group",32.8613563526107
"92","FC.177A1in2_concatenated","FC_177","Fort Collins","CONV","Half","TrayOverwrap","TrayOverwrap(N=6)",93,"Store5","Walmart",54833376,52650008,45942,4894,3473,5686,5327,21566.8016194332,13,0.943432563348337,22,1.5038647861473,"Gene",49.4270398479024
"93","FC.177A_concatenated","FC_177","Fort Collins","CONV","None","TrayOverwrap","TrayOverwrap(N=6)",93,"Store5","Walmart",40915803,39211802,41483,9114,5417,10290,9843,30379.6296296296,11,0.97801303471405,22,1.52348579058652,"Class",5.34664144791005
"94","FC.177A_concatenated","FC_177","Fort Collins","CONV","None","TrayOverwrap","TrayOverwrap(N=6)",93,"Store5","Walmart",40915803,39211802,41483,9114,5417,10290,9843,30379.6296296296,11,0.97801303471405,22,1.52348579058652,"Mechanism",8.45796318071323
"95","FC.177A_concatenated","FC_177","Fort Collins","CONV","None","TrayOverwrap","TrayOverwrap(N=6)",93,"Store5","Walmart",40915803,39211802,41483,9114,5417,10290,9843,30379.6296296296,11,0.97801303471405,22,1.52348579058652,"Group",33.0964264052017
"96","FC.177A_concatenated","FC_177","Fort Collins","CONV","None","TrayOverwrap","TrayOverwrap(N=6)",93,"Store5","Walmart",40915803,39211802,41483,9114,5417,10290,9843,30379.6296296296,11,0.97801303471405,22,1.52348579058652,"Gene",51.9053032415608
